,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian_p,traveltime_p,studytime_p,failures_p,schoolsup_p,famsup_p,paid_p,activities_p,nursery,higher_p,internet,romantic_p,famrel_p,freetime_p,goout_p,Dalc_p,Walc_p,health_p,absences_p,G1_por,G2_por,G3_por,guardian_m,traveltime_m,studytime_m,failures_m,schoolsup_m,famsup_m,paid_m,activities_m,higher_m,romantic_m,famrel_m,freetime_m,goout_m,Dalc_m,Walc_m,health_m,absences_m,G1_mat,G2_mat,G3_mat
12,GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,3,5,0,12,13,12,father,1.0,1.0,0.0,no,yes,yes,yes,yes,no,4.0,3.0,3.0,1.0,3.0,5.0,2.0,14.0,14.0,14.0
13,GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,5,4,3,1,2,3,0,12,12,13,mother,2.0,2.0,0.0,no,yes,yes,no,yes,no,5.0,4.0,3.0,1.0,2.0,3.0,2.0,10.0,10.0,11.0
14,GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,14,15,other,1.0,3.0,0.0,no,yes,no,no,yes,yes,4.0,5.0,2.0,1.0,1.0,3.0,0.0,14.0,16.0,16.0
15,GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,6,17,17,17,mother,1.0,1.0,0.0,no,yes,no,no,yes,no,4.0,4.0,4.0,1.0,2.0,2.0,4.0,14.0,14.0,14.0
16,GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,3,2,3,1,2,2,10,13,13,14,mother,1.0,3.0,0.0,no,yes,yes,yes,yes,no,3.0,2.0,3.0,1.0,2.0,2.0,6.0,13.0,14.0,14.0
17,GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,2,13,14,14,mother,3.0,2.0,0.0,yes,yes,no,yes,yes,no,5.0,3.0,2.0,1.0,1.0,4.0,4.0,8.0,10.0,10.0
18,GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,2,8,8,7,mother,1.0,1.0,3.0,no,yes,no,yes,yes,no,5.0,5.0,5.0,2.0,4.0,5.0,16.0,6.0,5.0,5.0
19,GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,6,12,12,12,father,1.0,1.0,0.0,no,no,yes,yes,yes,no,3.0,1.0,3.0,1.0,3.0,5.0,4.0,8.0,10.0,10.0
20,GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,12,13,14,mother,1.0,2.0,0.0,no,no,no,no,yes,no,4.0,4.0,1.0,1.0,1.0,1.0,0.0,13.0,14.0,15.0
21,GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,11,12,12,father,1.0,1.0,0.0,no,yes,yes,no,yes,no,5.0,4.0,2.0,1.0,1.0,5.0,0.0,12.0,15.0,15.0
22,GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,0,12,13,14,mother,1.0,2.0,0.0,no,no,no,yes,yes,no,4.0,5.0,1.0,1.0,3.0,5.0,2.0,15.0,15.0,16.0
23,GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,2,10,10,10,mother,2.0,2.0,0.0,no,yes,no,yes,yes,no,5.0,4.0,4.0,2.0,4.0,5.0,0.0,13.0,13.0,12.0
24,GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,11,10,mother,1.0,3.0,0.0,yes,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,10.0,9.0,8.0
25,GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,1,2,2,1,3,5,6,10,11,12,mother,1.0,1.0,2.0,no,yes,yes,no,yes,no,1.0,2.0,2.0,1.0,3.0,5.0,14.0,6.0,9.0,8.0
26,GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,2,5,8,11,12,12,mother,1.0,1.0,0.0,no,yes,yes,no,yes,no,4.0,2.0,2.0,1.0,2.0,5.0,2.0,12.0,12.0,11.0
27,GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,2,2,4,2,4,1,0,11,11,11,mother,1.0,1.0,0.0,no,no,yes,no,yes,no,2.0,2.0,4.0,2.0,4.0,1.0,4.0,15.0,16.0,15.0
28,GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,2,12,12,13,mother,1.0,2.0,0.0,yes,yes,no,yes,yes,no,5.0,3.0,3.0,1.0,1.0,5.0,4.0,11.0,11.0,11.0
29,GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,4,12,11,12,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,4.0,4.0,5.0,5.0,5.0,5.0,16.0,10.0,12.0,11.0
30,GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,10,11,11,mother,1.0,2.0,0.0,no,yes,yes,no,yes,no,5.0,4.0,2.0,3.0,4.0,5.0,0.0,9.0,11.0,12.0
31,GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,2,15,15,15,mother,2.0,2.0,0.0,no,yes,no,yes,yes,no,4.0,3.0,1.0,1.0,1.0,5.0,0.0,17.0,16.0,17.0
32,GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,13,14,15,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,4.0,5.0,2.0,1.0,1.0,5.0,0.0,17.0,16.0,16.0
33,GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,13,12,12,mother,1.0,2.0,0.0,no,no,no,yes,yes,no,5.0,3.0,2.0,1.0,1.0,2.0,0.0,8.0,10.0,12.0
34,GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,5,4,3,1,1,5,4,12,12,12,mother,1.0,1.0,0.0,no,yes,yes,no,yes,no,5.0,4.0,3.0,1.0,1.0,5.0,0.0,12.0,14.0,15.0
35,GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,4,11,11,11,father,2.0,1.0,0.0,no,yes,no,yes,yes,no,3.0,5.0,1.0,1.0,1.0,5.0,0.0,8.0,7.0,6.0
36,GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,0,14,14,14,mother,1.0,3.0,0.0,no,yes,no,yes,yes,no,5.0,4.0,3.0,1.0,1.0,4.0,2.0,15.0,16.0,18.0
37,GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,4,13,13,13,mother,2.0,3.0,0.0,no,yes,no,yes,yes,yes,2.0,4.0,3.0,1.0,1.0,5.0,7.0,15.0,16.0,15.0
38,GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,11,12,12,mother,1.0,3.0,0.0,yes,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,12.0,12.0,11.0
39,GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,no,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,12,mother,1.0,1.0,0.0,yes,yes,yes,yes,yes,no,4.0,3.0,1.0,1.0,1.0,2.0,8.0,14.0,13.0,13.0
40,GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,0,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,16,11,11,10,mother,2.0,2.0,1.0,no,yes,no,yes,yes,yes,3.0,3.0,3.0,1.0,2.0,3.0,25.0,7.0,10.0,11.0
41,GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,10,11,11,other,1.0,1.0,0.0,no,yes,no,no,yes,yes,5.0,4.0,3.0,2.0,4.0,5.0,8.0,12.0,12.0,12.0
42,GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,0,14,15,15,father,1.0,2.0,0.0,no,yes,no,yes,yes,no,4.0,3.0,3.0,1.0,1.0,5.0,2.0,19.0,18.0,18.0
43,GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,9,10,10,father,1.0,1.0,0.0,yes,yes,no,no,yes,no,5.0,4.0,1.0,1.0,1.0,1.0,0.0,8.0,8.0,11.0
44,GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,11,11,father,2.0,2.0,1.0,yes,no,no,yes,yes,no,4.0,3.0,3.0,2.0,2.0,5.0,14.0,10.0,10.0,9.0
45,GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,4,10,11,11,mother,1.0,2.0,0.0,yes,yes,yes,yes,yes,yes,5.0,2.0,2.0,1.0,1.0,5.0,8.0,8.0,8.0,6.0
46,GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,6,13,12,13,mother,1.0,2.0,0.0,no,yes,no,no,yes,no,2.0,3.0,5.0,1.0,4.0,3.0,12.0,11.0,12.0,11.0
47,GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,2,17,17,17,mother,1.0,4.0,0.0,no,no,no,yes,yes,no,4.0,2.0,2.0,1.0,1.0,2.0,4.0,19.0,19.0,20.0
48,GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,3,2,2,5,4,11,12,13,mother,1.0,2.0,0.0,no,yes,yes,no,yes,no,4.0,3.0,3.0,2.0,2.0,5.0,2.0,15.0,15.0,14.0
49,GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,0,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,13,12,12,father,1.0,2.0,1.0,yes,yes,no,yes,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,2.0,7.0,7.0,7.0
50,GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,2,3,4,0,14,13,13,mother,3.0,2.0,0.0,no,yes,yes,no,yes,no,4.0,3.0,3.0,2.0,3.0,4.0,2.0,12.0,13.0,13.0
51,GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,5,0,16,14,16,mother,1.0,2.0,0.0,no,yes,yes,no,yes,no,4.0,3.0,3.0,1.0,1.0,5.0,2.0,11.0,13.0,13.0
52,GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,0,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,4,10,9,9,father,2.0,1.0,1.0,no,no,no,no,yes,no,5.0,5.0,5.0,3.0,4.0,5.0,6.0,11.0,11.0,10.0
53,GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,no,no,yes,yes,yes,no,3,3,4,2,3,5,0,13,12,12,mother,1.0,1.0,0.0,yes,yes,yes,no,yes,no,3.0,3.0,4.0,2.0,3.0,5.0,0.0,8.0,10.0,11.0
54,GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,5,3,4,4,4,1,0,13,12,13,mother,1.0,1.0,0.0,no,no,yes,no,yes,no,5.0,3.0,4.0,4.0,4.0,1.0,6.0,10.0,13.0,13.0
55,GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,2,12,13,12,mother,1.0,2.0,0.0,no,no,yes,yes,yes,yes,5.0,3.0,4.0,1.0,1.0,2.0,8.0,8.0,9.0,10.0
56,GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,1,0,15,14,15,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,1.0,0.0,14.0,15.0,15.0
57,GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,8,15,15,16,mother,1.0,2.0,0.0,no,yes,no,yes,yes,no,3.0,2.0,2.0,1.0,1.0,5.0,4.0,14.0,15.0,15.0
58,GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,14,13,14,father,1.0,2.0,0.0,yes,yes,no,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,9.0,10.0,9.0
59,GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,3,1,1,5,2,16,15,16,mother,1.0,2.0,0.0,no,yes,no,no,yes,no,4.0,2.0,3.0,1.0,1.0,5.0,2.0,15.0,16.0,16.0
60,GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,0,17,16,16,mother,1.0,2.0,0.0,no,yes,no,yes,yes,no,2.0,4.0,4.0,2.0,3.0,4.0,6.0,10.0,11.0,11.0
61,GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,0,10,10,16,father,4.0,1.0,0.0,yes,yes,no,yes,yes,yes,5.0,5.0,5.0,5.0,5.0,5.0,6.0,10.0,8.0,11.0
62,GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,0,13,13,10,father,1.0,2.0,0.0,yes,no,no,yes,yes,no,4.0,4.0,3.0,1.0,1.0,1.0,4.0,8.0,10.0,9.0
63,GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,3,4,4,2,4,4,0,14,13,13,mother,1.0,3.0,0.0,yes,yes,yes,yes,yes,no,3.0,4.0,4.0,2.0,4.0,4.0,2.0,10.0,9.0,9.0
64,GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,13,12,12,father,1.0,2.0,0.0,yes,no,no,yes,yes,yes,4.0,4.0,4.0,2.0,4.0,2.0,0.0,10.0,10.0,10.0
65,GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,16,mother,3.0,2.0,0.0,no,yes,no,yes,yes,no,5.0,4.0,3.0,1.0,2.0,1.0,2.0,16.0,15.0,15.0
66,GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,0,11,12,12,mother,1.0,4.0,0.0,no,yes,no,yes,yes,yes,1.0,3.0,3.0,5.0,5.0,3.0,4.0,13.0,13.0,12.0
67,GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,4,3,3,1,2,5,0,10,9,10,mother,1.0,4.0,0.0,yes,yes,yes,no,yes,no,4.0,3.0,3.0,1.0,2.0,5.0,4.0,7.0,7.0,6.0
68,GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,4,1,3,1,3,4,0,11,10,11,mother,2.0,2.0,0.0,yes,yes,yes,no,yes,no,4.0,1.0,3.0,1.0,3.0,4.0,2.0,8.0,9.0,8.0
69,GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,6,15,15,15,father,2.0,4.0,0.0,no,yes,no,no,yes,no,4.0,4.0,2.0,2.0,3.0,3.0,12.0,16.0,16.0,16.0
70,GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,5,2,13,11,11,father,2.0,4.0,0.0,no,yes,yes,no,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,0.0,13.0,15.0,15.0
71,GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,11,9,10,mother,1.0,4.0,0.0,no,no,no,no,yes,no,3.0,3.0,3.0,1.0,1.0,3.0,0.0,10.0,10.0,10.0
72,GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,0,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,13,11,11,mother,1.0,2.0,2.0,yes,yes,no,no,yes,yes,3.0,3.0,4.0,2.0,4.0,5.0,2.0,8.0,6.0,5.0
73,GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,0,13,13,14,mother,1.0,1.0,0.0,no,no,no,yes,yes,no,5.0,3.0,2.0,2.0,2.0,5.0,2.0,12.0,12.0,14.0
74,GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,3,2,4,5,4,11,11,11,mother,1.0,2.0,0.0,yes,yes,yes,yes,yes,no,4.0,3.0,3.0,2.0,4.0,5.0,54.0,11.0,12.0,11.0
75,GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,3,5,0,11,11,11,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,no,4.0,3.0,3.0,2.0,3.0,5.0,6.0,9.0,9.0,10.0
76,GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,0,12,11,11,mother,2.0,4.0,0.0,no,no,no,yes,yes,no,3.0,4.0,3.0,1.0,1.0,1.0,8.0,11.0,11.0,10.0
77,GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,no,no,yes,yes,yes,yes,5,2,3,1,3,3,1,13,13,13,mother,1.0,4.0,0.0,no,no,yes,no,yes,yes,5.0,2.0,3.0,1.0,3.0,3.0,0.0,11.0,11.0,11.0
78,GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,0,9,9,10,mother,2.0,1.0,3.0,yes,yes,no,yes,no,no,4.0,5.0,1.0,1.0,1.0,3.0,2.0,8.0,8.0,10.0
79,GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,0,9,9,10,mother,1.0,1.0,3.0,no,yes,no,no,yes,no,5.0,4.0,5.0,1.0,2.0,5.0,0.0,5.0,0.0,0.0
80,GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,14,12,11,11,mother,1.0,2.0,0.0,no,yes,no,no,yes,no,2.0,4.0,3.0,1.0,2.0,3.0,12.0,5.0,5.0,5.0
81,GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,no,yes,no,yes,yes,yes,3,2,2,1,3,3,0,11,11,12,father,1.0,1.0,0.0,yes,yes,yes,yes,yes,yes,3.0,2.0,2.0,1.0,3.0,3.0,2.0,10.0,12.0,12.0
82,GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,no,no,no,yes,yes,no,5,3,2,1,2,5,2,10,9,9,mother,1.0,3.0,0.0,yes,no,yes,no,yes,no,5.0,3.0,2.0,1.0,2.0,5.0,4.0,11.0,10.0,11.0
83,GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,1,5,4,12,11,11,mother,1.0,2.0,0.0,no,yes,yes,no,yes,no,4.0,4.0,4.0,1.0,1.0,5.0,10.0,7.0,6.0,6.0
84,GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,2,13,12,13,mother,2.0,2.0,0.0,no,no,yes,yes,yes,no,5.0,3.0,3.0,1.0,3.0,4.0,4.0,15.0,15.0,15.0
85,GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,13,12,12,father,1.0,2.0,0.0,no,yes,no,yes,yes,no,4.0,3.0,2.0,2.0,3.0,4.0,2.0,9.0,10.0,10.0
86,GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,0,no,no,no,no,yes,yes,yes,yes,4,4,4,2,3,5,4,12,11,12,father,2.0,2.0,2.0,no,no,yes,no,yes,yes,4.0,4.0,4.0,2.0,3.0,5.0,6.0,7.0,9.0,8.0
87,GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,6,13,11,11,mother,1.0,2.0,0.0,no,yes,no,no,yes,no,4.0,3.0,4.0,1.0,2.0,2.0,4.0,8.0,7.0,6.0
88,GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,15,15,15,mother,1.0,3.0,0.0,no,yes,no,yes,yes,no,5.0,3.0,3.0,1.0,3.0,1.0,4.0,13.0,14.0,14.0
89,GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,0,no,no,no,yes,no,yes,yes,no,4,4,2,1,1,3,6,12,10,11,father,2.0,2.0,1.0,no,no,yes,yes,yes,no,4.0,4.0,2.0,1.0,1.0,3.0,12.0,11.0,10.0,10.0
90,GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,6,9,9,10,mother,1.0,2.0,0.0,no,yes,no,no,yes,no,4.0,1.0,3.0,3.0,5.0,5.0,18.0,8.0,6.0,7.0
